period,date_range,policy,appeals,reinstated,upheld,median_turnaround_days
H1_2025,2025-01-01 to 2025-06-30,Sexual Content,134358,6175,128035,1
H1_2025,2025-01-01 to 2025-06-30,Child Sexual Exploitation & Abuse,89493,4179,85314,0.5
H1_2025,2025-01-01 to 2025-06-30,Harassment and Bullying,42779,281,42496,1
H1_2025,2025-01-01 to 2025-06-30,Threats & Violence,3987,77,3909,1
H1_2025,2025-01-01 to 2025-06-30,Self-Harm & Suicide,145,2,143,1
H1_2025,2025-01-01 to 2025-06-30,False Information,4,0,4,1
H1_2025,2025-01-01 to 2025-06-30,Impersonation,1063,33,1030,0.5
H1_2025,2025-01-01 to 2025-06-30,Spam,13730,3140,10590,1
H1_2025,2025-01-01 to 2025-06-30,Drugs,128222,7749,120409,1
H1_2025,2025-01-01 to 2025-06-30,Weapons,10941,314,10626,1
H1_2025,2025-01-01 to 2025-06-30,Other Regulated Goods,9719,124,9593,1
H1_2025,2025-01-01 to 2025-06-30,Hate Speech,3310,67,3242,1
H1_2025,2025-01-01 to 2025-06-30,Terrorism & Violent Extremism,104,1,103,1
