period,date_range,policy,enforcements,unique_accounts,median_turnaround_min
H1_2025,2025-01-01 to 2025-06-30,Sexual Content,1683045,887059,0
H1_2025,2025-01-01 to 2025-06-30,Child Sexual Exploitation & Abuse,399756,162017,2
H1_2025,2025-01-01 to 2025-06-30,Harassment and Bullying,12716,10412,8
H1_2025,2025-01-01 to 2025-06-30,Threats & Violence,40489,27662,6
H1_2025,2025-01-01 to 2025-06-30,Self-Harm & Suicide,6493,4638,7
H1_2025,2025-01-01 to 2025-06-30,False Information,61,44,20
H1_2025,2025-01-01 to 2025-06-30,Impersonation,52,44,34
H1_2025,2025-01-01 to 2025-06-30,Spam,144800,96500,0
H1_2025,2025-01-01 to 2025-06-30,Drugs,832803,578738,7
H1_2025,2025-01-01 to 2025-06-30,Weapons,211877,144455,0
H1_2025,2025-01-01 to 2025-06-30,Other Regulated Goods,40139,31408,8
H1_2025,2025-01-01 to 2025-06-30,Hate Speech,5788,4518,6
H1_2025,2025-01-01 to 2025-06-30,Terrorism & Violent Extremism,9917,5899,5
