period,date_range,policy,reports,enforcements,pct_enforced,unique_accounts,median_turnaround_min
H1_2025,2025-01-01 to 2025-06-30,Sexual Content,7315730,3778370,60.2,2463464,1
H1_2025,2025-01-01 to 2025-06-30,Child Sexual Exploitation & Abuse,1627097,695679,11.1,577736,10
H1_2025,2025-01-01 to 2025-06-30,Harassment & Bullying,4103797,700731,11.2,584762,3
H1_2025,2025-01-01 to 2025-06-30,Threats & Violence,997346,147162,2.3,120397,2
H1_2025,2025-01-01 to 2025-06-30,Self-Harm & Suicide,350775,41150,0.7,36657,3
H1_2025,2025-01-01 to 2025-06-30,False Information,606979,2027,0.0,1960,1
H1_2025,2025-01-01 to 2025-06-30,Impersonation,745874,7086,0.1,6837,0.5
H1_2025,2025-01-01 to 2025-06-30,Spam,1709559,122499,2.0,94837,1
H1_2025,2025-01-01 to 2025-06-30,Drugs,481830,262962,4.2,176799,5
H1_2025,2025-01-01 to 2025-06-30,Weapons,271586,39366,0.6,32316,1
H1_2025,2025-01-01 to 2025-06-30,Other Regulated Goods,530449,143098,2.3,98023,3
H1_2025,2025-01-01 to 2025-06-30,Hate Speech,817262,337263,5.4,280682,6
H1_2025,2025-01-01 to 2025-06-30,Terrorism & Violent Extremism,208040,1053,0.0,912,2
