Applicability,Service,Reporting period,Section,Indicator,Scope,Value
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,TOTAL,97153476.0
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,AT,2188589.0
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,BE,3592131.0
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,BG,1617339.0
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,CY,148609.0
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,CZ,1298965.0
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,DE,19845717.0
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,DK,2705111.0
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,EE,280034.0
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,EL,988014.0
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,ES,3642769.0
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,FI,1686843.0
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,FR,28565554.0
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,HR,673602.0
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,HU,1124161.0
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,IE,1991797.0
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,IT,3643080.0
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,LT,521984.0
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,LU,199107.0
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,LV,356377.0
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,MT,86597.0
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,NL,6844016.0
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,PL,5664399.0
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,PT,1056152.0
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,RO,2880213.0
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,SE,4483080.0
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,SI,468053.0
Only for VLOPs and VLOSEs,Snap,2025-07-01/2025-12-31,AMAR,Number of average monthly active recipients during the reporting period,SK,601186.0
