period,date_range,policy,enforcements,unique_accounts,median_turnaround_min,vvr_pct
H1_2025,2025-01-01 to 2025-06-30,Sexual Content,5461419,3233077,1,0.00482
H1_2025,2025-01-01 to 2025-06-30,Child Sexual Exploitation & Abuse,1095424,733106,5,0.00096
H1_2025,2025-01-01 to 2025-06-30,Harassment and Bullying,713448,594302,3,0.00099
H1_2025,2025-01-01 to 2025-06-30,Threats & Violence,187653,146564,3,0.00176
H1_2025,2025-01-01 to 2025-06-30,Self-Harm & Suicide,47643,41216,5,9e-05
H1_2025,2025-01-01 to 2025-06-30,False Information,2088,2004,1,2e-05
H1_2025,2025-01-01 to 2025-06-30,Impersonation,7138,6881,0.5,9e-05
H1_2025,2025-01-01 to 2025-06-30,Spam,267299,189344,1,0.0006
H1_2025,2025-01-01 to 2025-06-30,Drugs,1095765,726251,7,0.00047
H1_2025,2025-01-01 to 2025-06-30,Weapons,251243,173381,1,0.00083
H1_2025,2025-01-01 to 2025-06-30,Other Regulated Goods,183236,126952,4,0.00104
H1_2025,2025-01-01 to 2025-06-30,Hate Speech,343051,284817,6,0.00025
H1_2025,2025-01-01 to 2025-06-30,Terrorism & Violent Extremism,10970,6783,2,2e-05
